"","Data_Collection_Season","Date","Proj.Plot","Grid","Plant_tag","X_Coord","Y_Coord","Tool","POM","DBH_mm","Height_m","Veg_Type","Notes","ID"
"1","Summer_2021",2021-07-20,"DF_3B","F8/G9","184",4.3,3.9,"CP",0.2,14.7,1.3,"Seedling","","ECH 24"
"2","Summer_2021",2021-07-20,"DF_3B","F8/G9","5709",4.25,3.4,"CP",0.1,5.4,0.67,"Seedling","","#N/A"
"3","Summer_2021",2021-07-20,"DF_3B","F8/G9","7949",4.2,3.75,"CP",0.05,2.3,0.4,"Seedling","","#N/A"
"4","Summer_2021",2021-07-20,"DF_3B","F8/G9","5749",4.5,3.15,"CP",0.05,2.2,0.2,"Seedling","","ECH 24"
"5","Summer_2021",2021-07-20,"DF_3B","F8/G9","7424",4.9,4.1,"CP",0.05,2.5,0.17,"Seedling","","Dalusea africana"
"6","Summer_2021",2021-07-20,"DF_3B","F8/G9","7217",4.75,4.32,"CP",0.3,4.7,1,"Sapling","","Landolphia incerta"
"7","Summer_2021",2021-07-20,"DF_3B","F8/G9","7244",4.8,5,"CP",0.05,2.4,0.2,"Seedling","","ECH 47"
"8","Summer_2021",2021-07-20,"DF_3B","F8/G9","7205",4.35,4.5,"CP",0.3,5.2,30,"Liana","","#N/A"
"9","Summer_2021",2021-07-20,"DF_3B","F8/G9","1554",4.2,5,"DBH",1.3,558.8,30,"Tree","DBH in inches","Heisteria parvifolia"
"10","Summer_2021",2021-07-20,"DF_3B","F8/G9","7265",3.9,4.3,"CP",0.05,6,0.7,"Sapling","","ECH 24"
"11","Summer_2021",2021-07-20,"DF_3B","F8/G9","7485",3.9,4.5,"CP",0.3,9.4,1.16,"Sapling","","Landolphia incerta"
"12","Summer_2021",2021-07-20,"DF_3B","F8/G9","76",3.45,4.86,"CP",0.05,2.8,0.3,"Seedling","","#N/A"
"13","Summer_2021",2021-07-20,"DF_3B","F8/G9","7284",3.8,5,"CP",0.05,4.8,0.7,"Sapling","","ECH 21"
"14","Summer_2021",2021-07-20,"DF_3B","F8/G9","7210",3.3,5,"CP",0.3,6.3,0.67,"Sapling","","Afrostyrax lepidophyllus"
"15","Summer_2021",2021-07-20,"DF_3B","F8/G9","7289",2.8,5,"CP",0.05,2.7,0.13,"Seedling","","#N/A"
"16","Summer_2021",2021-07-20,"DF_3B","F8/G9","7298",2.5,5,"CP",0.05,2.1,0.2,"Seedling","","ECH 21"
"17","Summer_2021",2021-07-20,"DF_3B","F8/G9","7269",2.1,4.8,"CP",0.05,4.4,0.8,"Sapling","","Dichranolepsis sp 1"
"18","Summer_2021",2021-07-20,"DF_3B","F8/G9","246",2,5,"CP",0.05,3.5,0.2,"Seedling","","ECH 21"
"19","Summer_2021",2021-07-20,"DF_3B","F8/G9","7283",1.75,4.1,"CP",0.05,4.1,0.7,"Sapling","","#N/A"
"20","Summer_2021",2021-07-20,"DF_3B","F8/G9","7203",1.85,4.1,"CP",0.3,22.7,2.43,"Sapling","","ECH 42"
"21","Summer_2021",2021-07-20,"DF_3B","F8/G9","7213",2,4.2,"CP",0.3,4.6,2.43,"Liana","","ECH 76"
"22","Summer_2021",2021-07-20,"DF_3B","F8/G9","7201",1.5,4.75,"CP",0.05,1.1,0.13,"Seedling","","Clenianthus gabonii"
"23","Summer_2021",2021-07-20,"DF_3B","F8/G9","7204",1.45,4.9,"CP",0.05,3.3,0.47,"Seedling","","Dacryodes buettneri"
"24","Summer_2021",2021-07-20,"DF_3B","F8/G9","7207",1.35,4.2,"CP",0.05,5.5,0.4,"Seedling","ECH 73","Rinorea sp 1"
"25","Summer_2021",2021-07-20,"DF_3B","F8/G9","702",1.2,4.05,"CP",0.05,4.5,0.33,"Seedling","","#N/A"
"26","Summer_2021",2021-07-20,"DF_3B","F8/G9","7208",1.9,4,"CP",0.05,5.1,0.56,"Sapling","","Phylaopsis discofolia"
"27","Summer_2021",2021-07-20,"DF_3B","F8/G9","7294",1,4.79,"CP",0.05,3.9,0.3,"Seedling","","ECH 21"
"28","Summer_2021",2021-07-20,"DF_3B","F8/G9","266",0.95,4.7,"CP",0.05,5.4,0.55,"Seedling","","Baphia leptobotrys"
"29","Summer_2021",2021-07-20,"DF_3B","F8/G9","7221",0.85,4.27,"CP",0.05,6.1,0.6,"Sapling","","ECH 63"
"30","Summer_2021",2021-07-20,"DF_3B","F8/G9","7248",0.8,4.66,"CP",0.05,3.6,0.3,"Seedling","","Agelaea sp 2"
"31","Summer_2021",2021-07-20,"DF_3B","F8/G9","1509",0.75,4.39,"CP",0.05,2.3,0.14,"Seedling","","#N/A"
"32","Summer_2021",2021-07-20,"DF_3B","F8/G9","823",0.6,4.8,"CP",0.3,17.1,1.7,"Sapling","","ECH 42"
"33","Summer_2021",2021-07-20,"DF_3B","F8/G9","1411",0.7,4.09,"CP",0.05,2.4,0.15,"Seedling","","Dalusea africana"
"34","Summer_2021",2021-07-20,"DF_3B","F8/G9","1389",0.4,4,"CP",0.05,4.9,0.3,"Seedling","","ECH 42"
"35","Summer_2021",2021-07-20,"DF_3B","F8/G9","1228",0.2,4.1,"CP",0.05,4.1,1.3,"Liana","","Holmania denquelmaniana"
"36","Summer_2021",2021-07-20,"DF_3B","F8/G9","1048",0.1,5,"CP",0.05,6.1,0.56,"Sapling","","ECH 24"
"37","Summer_2021",2021-07-20,"DF_3B","F8/G9","7280",1.2,4,"CP",0.05,2.2,0.17,"Seedling","","ECH 24"
"38","Summer_2021",2021-07-19,"DF_3B","D10/E11","69",4.9,0.2,"CP",1.3,15.8,2.4,"Sapling","","Dialium pachyphyllum"
"39","Summer_2021",2021-07-19,"DF_3B","D10/E11","7162",4.7,1.8,"CP",0.4,10.7,1.7,"Sapling","","ECH 48"
"40","Summer_2021",2021-07-19,"DF_3B","D10/E11","4371",3.6,2.7,"CP",0.4,11.7,1.8,"Sapling","","Scorodophloeus zenkeri"
"41","Summer_2021",2021-07-19,"DF_3B","D10/E11","607",4.4,4.6,"CP",0.4,19.4,2.5,"Sapling","","Odjendja gabonensis"
"42","Summer_2021",2021-07-19,"DF_3B","D10/E11","7150",2.3,3.5,"CP",1.3,21.5,3.7,"Sapling","","Scorodophloeus zenkeri"
"43","Summer_2021",2021-07-19,"DF_3B","D10/E11","7110",1,4.8,"DBH",1.3,65,7.5,"Sapling","height estimated","Centroplacus glaucinus"
"44","Summer_2021",2021-07-19,"DF_3B","D10/E11","794",0.8,3.2,"CP",0.3,10.7,2.48,"Sapling","","ECH 42"
"45","Summer_2021",2021-07-19,"DF_3B","D10/E11","36",1.2,4.6,"CP",0.3,13.5,2.25,"Sapling","","#N/A"
"46","Summer_2021",2021-07-19,"DF_3B","D10/E11","5251",2.7,5,"CP",0.3,16.7,1.8,"Sapling","","ECH 53"
"47","Summer_2021",2021-07-19,"DF_3B","B10/C11","7188",2.2,2.9,"CP",1,12.4,2.18,"Sapling","","ECH 47"
"48","Summer_2021",2021-07-19,"DF_3B","B10/C11","627",2.8,1.9,"CP",1,24.8,2.28,"Sapling","","Tricoscypha abut"
"49","Summer_2021",2021-07-19,"DF_3B","B10/C11","643",3,3,"CP",1.1,39.4,22,"Liana","","Landolphia incerta"
"50","Summer_2021",2021-07-19,"DF_3B","B10/C11","3092",3.3,2.1,"CP",0.3,7.4,2.04,"Liana","","ECH 42"
"51","Summer_2021",2021-07-19,"DF_3B","B10/C11","3990",3,1.7,"CP",0.4,19.7,2.1,"Sapling","","#N/A"
"52","Summer_2021",2021-07-19,"DF_3B","B10/C11","188",3,1.7,"CP",0.4,21.3,25,"Liana","","#N/A"
"53","Summer_2021",2021-07-19,"DF_3B","B10/C11","7304",4.3,1.2,"CP",0.3,5.7,1.8,"Liana","","ECH 42"
"54","Summer_2021",2021-07-19,"DF_3B","B10/C11","619",4.5,2.4,"DBH",1,175,12,"Tree","","#N/A"
"55","Summer_2021",2021-07-19,"DF_3B","B10/C11","419",5,2.6,"CP",0.5,19.6,2,"Sapling","","Scorodophloeus zenkeri"
"56","Summer_2021",2021-07-19,"DF_3B","B10/C11","791",4.4,3.4,"CP",0.3,6.5,1.96,"Liana","","ECH 42"
"57","Summer_2021",2021-07-19,"DF_3B","B10/C11","775",4.4,3.4,"CP",0.4,12.6,1.7,"Sapling","","Afrostyrax lepidophyllus"
"58","Summer_2021",2021-07-19,"DF_3B","B10/C11","753",3.6,3.9,"CP",0.3,10.4,1.8,"Sapling","","#N/A"
"59","Summer_2021",2021-07-19,"DF_3B","B10/C11","693",4.1,5,"CP",0.5,13.4,2.6,"Sapling","","ECH 36"
"60","Summer_2021",2021-07-19,"DF_3B","B10/C11","2932",4.3,3.4,"CP",0.4,12.6,1.8,"Sapling","","#N/A"
"61","Summer_2021",2021-07-19,"DF_3B","B10/C11","4316",3.2,4.1,"CP",1.3,17.4,2.7,"Sapling","","#N/A"
"62","Summer_2021",2021-07-19,"DF_3B","B10/C11","3025",2.8,2.7,"CP",0.4,8.7,1.6,"Sapling","","ECH 53"
"63","Summer_2021",2021-07-19,"DF_3B","B10/C11","650",2.9,2.3,"CP",0.4,10.8,1.65,"Sapling","","Garcinia afzelii"
"64","Summer_2021",2021-07-19,"DF_3B","B10/C11","434",3.1,2.5,"DBH",1.3,297,22,"Tree","","Plagiostyles africana"
"65","Summer_2021",2021-07-19,"DF_3B","C10/D11","269",0.8,0.8,"CP",1.3,24.7,3.5,"Sapling","","Greenwayodendron gabonicum"
"66","Summer_2021",2021-07-19,"DF_3B","C10/D11","7533",0.2,1.1,"CP",0.4,16.7,1.7,"Sapling","","ECH 48"
"67","Summer_2021",2021-07-19,"DF_3B","C10/D11","1531",0.2,2.5,"CP",0.3,10.4,3.1,"Liana","","#N/A"
"68","Summer_2021",2021-07-19,"DF_3B","A10/B11","7129",2.5,1.3,"CP",1.3,32.7,6,"Sapling","height estimated","Phyllanthus diandrus"
"69","Summer_2021",2021-07-19,"DF_3B","A10/B11","7471",3.6,2.4,"CP",0.5,10.7,1.8,"Sapling","","Oddoniodendron sp 1"
"70","Summer_2021",2021-07-19,"DF_3B","A10/B11","7104",4.7,3.55,"CP",0.4,13.4,1.9,"Liana","","ECH 24"
"71","Summer_2021",2021-07-19,"DF_3B","A10/B11","7480",4.4,4,"CP",1.3,31.8,4,"Sapling","","Lichostema glanscesens"
"72","Summer_2021",2021-07-19,"DF_3B","A10/B11","7109",1.5,3.9,"CP",0.4,16.4,2.6,"Sapling","","#N/A"
"73","Summer_2021",2021-07-19,"DF_3B","A10/B11","7103",0.7,4.9,"CP",1.3,25.8,3.4,"Sapling","biggest fork","ECH 47"
"74","Summer_2021",2021-07-19,"DF_3B","A10/B11","7112",0.7,4.9,"CP",0.3,7.4,3.7,"Liana","","ECH 42"
"75","Summer_2021",2021-07-19,"DF_3B","A10/B11","2085",1.4,4.6,"CP",0.4,12.6,1.8,"Sapling","","ECH 48"
"76","Summer_2021",2021-07-19,"DF_3B","A10/B11","7130",1,5,"CP",0.4,5.8,2,"Liana","","Landolphia incerta"
"77","Summer_2021",2021-07-19,"DF_3B","A10/B11","7291",2.2,5,"DBH",1.3,63,11.5,"Sapling","","Greenwayodendron gabonicum"
"78","Summer_2021",2021-07-19,"DF_3B","A10/B11","7105",2.3,5,"CP",0.4,12.7,1.9,"Sapling","","Pausinystalia johimbe"
"79","Summer_2021",2021-07-19,"DF_3B","A10/B11","7213",2.9,5,"CP",0.5,19.2,1.6,"Sapling","","Phylaopsis discofolia"
"80","Summer_2021",2021-07-19,"DF_3B","B10/C11","653",0.4,5,"CP",0.5,10.7,1.5,"Sapling","","Chytranthus talbotii"
"81","Summer_2021",2021-07-19,"DF_3B","A10/B11","977",4.4,3.8,"CP",1.3,36.5,25,"Liana","height estimated","#N/A"
"82","Summer_2021",2021-07-19,"DF_3B","B10/C11","7178",0.7,2.85,"CP",1,31.1,3.1,"Sapling","","ECH 47"
"83","Summer_2021",2021-07-19,"DF_3B","B10/C11","80",1.3,3,"CP",0.5,13.7,2.4,"Sapling","ECH 73","Rinorea sp 1"
"84","Summer_2021",2021-07-19,"DF_3B","B10/C11","7144",0.8,3.1,"CP",0.4,12.5,1.5,"Sapling","","ECH 18"
"85","Summer_2021",2021-07-19,"DF_3B","B10/C11","4352",1.8,3.4,"CP",1.3,14.5,2.4,"Liana","","ECH 26"
"86","Summer_2021",2021-07-19,"DF_3B","B10/C11","624",1.9,4.1,"CP",1,8.5,1.8,"Sapling","","Scorodophloeus zenkeri"
