participant,village,Distance/km,Axis,Ethnicity,gender,age,farmer,hunter,Moabi,Longhi,Atanga
1,Indombo,52,1,n/a,female,40-59,1,0,0,0,0
2,Indombo,52,1,Kota,female,60+,1,0,0,0,0
3,Indombo,52,1,n/a,male,40-59,1,0,0,0,0
4,Indombo,52,1,Kota,male,40-59,1,1,1,0,0
5,Indombo,52,1,Kota,male,60+,0,1,1,1,0
6,Indombo,52,1,Kota,female,60+,1,0,0,0,0
7,Indombo,52,1,n/a,male,60+,1,1,0,0,1
8,Minkwala,25,3,Fang,female,40-59,1,0,0,0,0
9,Minkwala,25,3,Fang,male,60+,1,0,0,0,0
10,Minkwala,25,3,Fang,male,40-59,0,1,1,1,1
11,Minkwala,25,3,Fang,female,60+,1,0,0,1,0
12,Nsiété,27,1,Kota,male,40-59,1,0,1,0,1
13,Nsiété,27,1,Kota,male,60+,1,0,1,0,0
14,Nsiété,27,1,Kota,female,60+,1,0,1,0,0
15,Nsiété,27,1,Kota,female,n/a,1,0,0,0,1
16,Nsiété,27,1,Kota,male,60+,1,0,1,1,0
17,Nsiété,27,1,Kota,female,40-59,1,0,0,0,0
18,Nsiété,27,1,Kota,female,60+,1,0,0,0,0
19,Nsiété,27,1,n/a,male,60+,1,0,1,0,0
20,Nsiété,27,1,Kota,male,40-59,0,1,1,0,0
21,Nsiété,27,1,Kota,female,40-59,1,0,1,0,0
22,Etakanyabé,15,1,Kota,female,18-39,1,0,0,0,1
23,Etakanyabé,15,1,n/a,female,40-59,1,0,1,0,0
24,Etakanyabé,15,1,Kota,female,18-39,1,0,0,0,1
25,Etakanyabé,15,1,Kota,female,60+,1,0,1,0,1
26,Etakanyabé,15,1,Kota,male,60+,1,0,0,0,0
27,Etakanyabé,15,1,Kota,female,60+,1,0,1,1,0
28,Etakanyabé,15,1,Kota,male,n/a,1,1,1,0,0
29,Etakanyabé,15,1,Kota,male,60+,1,0,1,0,0
30,Etakanyabé,15,1,Kota,male,60+,0,1,1,0,0
31,Etakanyabé,15,1,Kota,male,n/a,1,0,1,0,1
32,Massaha,52,2,Kota,female,18-39,1,0,0,0,0
33,Massaha,52,2,Kota,male,40-59,1,1,1,0,0
34,Massaha,52,2,Kota,female,60+,1,0,0,1,1
35,Massaha,52,2,Kota,female,18-39,1,0,0,0,0
36,Massaha,52,2,Kota,female,40-59,1,0,0,0,0
37,Massaha,52,2,n/a,male,40-59,0,1,1,1,0
38,Massaha,52,2,Kota,male,60+,1,0,1,0,0
39,Massaha,52,2,Kota,male,40-59,0,1,1,0,1
40,Massaha,52,2,Kota,male,18-39,1,0,1,1,0
41,Massaha,52,2,n/a,female,18-39,1,0,0,1,0
42,Bombenda,25,2,n/a,female,18-39,0,0,1,1,0
43,Bombenda,25,2,Kota,male,40-59,0,1,1,0,1
44,Bombenda,25,2,Kota,male,60+,1,0,1,0,1
45,Bombenda,25,2,Kota,female,18-39,n/a,n/a,0,1,0
46,Mayela I,10,2,Kota,male,60+,1,0,0,0,0
47,Mayela I,10,2,n/a,female,60+,1,0,0,0,0
48,Mayela I,10,2,Kota,male,40-59,1,1,1,1,1
49,Mayela I,10,2,Kota,female,60+,1,0,1,0,1
50,Ntsengkellé,50,3,Fang,female,60+,1,0,1,1,0
51,Ntsengkellé,50,3,Fang,female,40-59,1,0,1,1,0
52,Ntsengkellé,50,3,Fang,male,60+,1,1,1,1,1
53,Ntsengkellé,50,3,Fang,female,40-59,1,0,0,1,0
54,Ntsengkellé,50,3,Fang,male,18-39,1,0,0,1,0
55,Ntsengkellé,50,3,Fang,male,40-59,1,0,1,1,0
56,Ntsengkellé,50,3,n/a,female,40-59,1,0,0,0,1
57,Ntsengkellé,50,3,Fang,female,40-59,1,0,0,0,0
58,Ntsengkellé,50,3,Fang,male,60+,1,1,1,0,0
59,Ntsengkellé,50,3,Fang,male,60+,1,1,1,1,1
60,Simintang,10,3,Fang,female,40-59,n/a,n/a,1,0,0
61,Simintang,10,3,Fang,female,n/a,n/a,n/a,1,0,1
62,Simintang,10,3,Fang,male,60+,1,0,0,1,0
63,Simintang,10,3,Fang,male,n/a,1,0,1,1,0
64,Simintang,10,3,Fang,female,60+,1,0,1,1,0
65,Simintang,10,3,Fang,male,60+,1,0,1,1,1
66,Simintang,10,3,Fang,female,40-59,1,0,0,0,0
