"","Plot","X.1","plot_liana_agb","X","plot_agb","AGB_TOTAL","pct_liana","Latitude","Longitude","succession","vegetation.class","flooding","tree.fall","fire","elephants","hunting.evidence","NTFP","Human.Tracks","Vehicle.Tracks","cut.trees..10cm","cut.trees..10cm.1","PopulationWithin5Km","PopulationWithin10Km","DistanceToCity_Meters","DistanceToVillage_Meters","DistanceToRiver_Meters","DistanceToRoads_Meters","New_Code","Elevation","precipitation","human_footprint","soil","precipitation_coldest_quarter"
"1","DUK_P001",1,1.13407665258331,"DUK_P001",324.80987093153,325.943947584113,0.003479360979055,0.48381,12.78031,"Primary","Green/Evergreen","Terra Firma","Minor","No","old",0,0,0,0,0,0,0,260,11653.94824,7055.550781,2170.184326,4254.609375,"DUK_P001",534,17747,1,551,2188
"2","DUK_P002",2,1.24735485074569,"DUK_P002",433.149351572123,434.396706422869,0.00287146479773592,0.42356,12.71444,"Primary","Green/Evergreen","Terra Firma","None","Ground","yes",0,0,0,0,0,0,0,0,21518.38672,16341.6582,5199.096191,14128.05762,"DUK_P002",520,18537,1,551,1365
"3","DUK_P003",3,0.890944369692454,"DUK_P003",579.801467668106,580.692412037798,0.00153427933829185,0.32771,12.55685,"Primary","Green/Evergreen","Swamp","None","No","yes",0,0,0,0,0,0,0,0,41603.03516,20858.48047,1556.82373,11340.35742,"DUK_P003",502,19152,1,551,1287
"4","DUK_P004",4,0.823337137568157,"DUK_P004",317.061782630257,317.885119767825,0.00259004617192997,0.28581,12.53789,"Secondary","Semi-deciduous","Terra Firma","Major","No","yes",0,0,0,0,0,0,0,0,39500.46484,16026.43164,1772.286621,6592.154297,"DUK_P004",495,19004,1,551,1246
"5","DUK_P005",5,1.08983511119546,"DUK_P005",659.337684398527,660.427519509723,0.00165019639400326,0.2693,12.62034,"Primary","Green/Evergreen","Swamp",NA,"No","old",0,0,0,0,0,0,0,0,41296.44531,17486.37109,3807.164307,8653.999023,"DUK_P005",520,18344,1,551,1231
"6","DUK_P006",6,1.26254501613753,"DUK_P006",418.9951165634,420.257661579538,0.00300421653561832,0.3131,12.66146,"Primary","Green/Evergreen","Terra Firma","Minor","No","yes",0,0,0,0,0,0,0,0,34674.40625,24106.90039,5257.537598,15137.25195,"DUK_P006",526,18296,1,551,1271
"7","DUK_P009",7,0.87790552072968,"DUK_P009",304.910013902493,305.787919423223,0.00287096207850717,0.55489,12.95472,"Secondary","Green/Evergreen","Terra Firma",NA,"No","yes",1,1,1,0,1,1,498,1488,11991.48438,2066.518799,5735.72998,1140.394653,"DUK_P009",518,16520,6,606,2161
"8","DUK_P011",8,1.15428963220507,"DUK_P011",398.053759642699,399.208049274904,0.00289144879293303,0.31327,12.40271,"Logged","Green/Evergreen","Terra Firma","Minor","No","old",1,0,1,0,0,1,0,0,24395.33203,15381.78125,5807.460938,2911.391357,"DUK_P011",466,18016,1,551,1136
"9","DUK_P012",9,0.970894803299828,"DUK_P012",431.919913168688,432.890807971988,0.00224281686148128,0.4875,12.56872,"Logged","Green/Evergreen","Terra Firma","Minor","No","yes",1,0,1,0,0,0,0,210,32147.82422,5011.437012,3763.416016,4480.055664,"DUK_P012",526,17770,1,551,1282
"10","DUK_P013",10,1.35844464367008,"DUK_P013",503.756190939366,505.114635583036,0.00268937890129055,0.23724,12.66318,"Primary","Green/Evergreen","Terra Firma","Minor","No","yes",0,0,0,0,0,0,0,0,41605.33984,18403.4043,9740.811523,8638.176758,"DUK_P013",520,18816,1,551,1266
"11","DUK_P014",11,0.771295896590761,"DUK_P014",310.808648528052,311.579944424643,0.00247543498993499,0.30357,12.70664,"Primary","Green/Evergreen","Terra Firma","Minor","No",NA,0,0,0,0,NA,NA,0,0,32861.33984,26763.09375,6643.493164,17285.41602,"DUK_P014",520,18764,1,551,1319
"12","DUK_P015",12,0.844806596498972,"DUK_P015",283.925327343497,284.770133939996,0.00296662639726461,0.63297,12.88911,"Secondary","Green/Evergreen","Terra Firma","None","No","old",1,1,0,0,0,0,150,17695,8850.050781,1862.901001,4293.774414,4094.203125,"DUK_P015",512,16750,2,551,2212
"13","NRI_P067",13,0.952513294793346,"NRI_P067",418.172432563892,419.124945858685,0.00227262372284207,-0.31944,12.30222,"Secondary","Green/Evergreen",NA,"Major","No","yes",0,0,0,0,0,0,0,0,46742.83203,13149.89355,2013.578857,284.6049805,"NRI_P067",233,16571,6,463,752
"14","NRI_P075",14,1.31304513197241,"NRI_P075",809.276856339838,810.58990147181,0.00161986366914796,0.22592,12.17889,"Logged","Green/Evergreen","Terra Firma",NA,NA,"old",0,1,0,0,1,1,0,1424,9164.202148,9480.759766,432.6661682,4404.384277,"NRI_P075",427,17696,5,551,980
"15","NRI_P076",15,0.92650806761369,"NRI_P076",521.157625180721,522.084133248335,0.00177463364352616,0.13883,12.39028,"Secondary","Green/Evergreen","Mountain","Major","No","yes",0,0,1,1,0,0,0,174,29700.98438,9627.569336,8926.297852,1578.353516,"NRI_P076",384,18035,1,551,1037
"16","NRI_P087",16,0.424040955954127,"NRI_P087",234.766559413152,235.190600369106,0.00180296727542955,0.60967,12.90917,"Secondary",NA,"Terra Firma","None","No",NA,0,0,1,0,0,0,486,18343,8467.549805,700.3570557,2661.897705,1838.831177,"NRI_P087",500,16648,6,606,2201
"17","NRI_P108",17,0.781929685848159,"NRI_P108",343.14833309782,343.930262783668,0.00227351230891825,0.44394,12.31673,"Secondary","Green/Evergreen","Terra Firma","None","No","old",0,0,0,0,0,0,198,718,21043.66797,2574.062988,8641.875,726.2230835,"NRI_P108",489,17977,9,551,1171
"18","NRI_P110",18,0.372408001189498,"NRI_P110",232.784958160707,233.157366161896,0.00159723884053018,0.54983,12.81857,"Logged","Green/Evergreen","Terra Firma",NA,"No","yes",1,1,1,0,1,1,17019,17457,3609.238037,1008.464172,2613.962402,692.6037598,"NRI_P110",504,16821,9,551,1336
"19","NRI_P112",19,0.524671980951263,"NRI_P112",270.30747929944,270.832151280391,0.00193725884637704,0.61429,12.7663,"Secondary","Green/Evergreen","Seasonally floods","Major","No","yes",1,0,1,1,0,0,438,762,10526.70898,4465.870605,5636.488281,456.9463806,"NRI_P112",510,17151,1,551,1370
"20","NRI_P113",20,1.37308630713246,"NRI_P113",502.715807213888,504.08889352102,0.00272389716333872,0.64058,12.63075,"Logged","Mountain","Mountain","Major","None","old tracks but no activity",1,0,1,0,0,0,0,576,25502.64648,8302.25293,3092.329102,108.1665421,"NRI_P113",548,17498,1,551,2169
