Expedition,Data_entry,Date (dd/mm/yyyy),File_name,Date (dd/mm/yyyy),Note_taker,Project,Plot,Grid,TAG_SUM,Plant_tag,X_coord,Y_coord,Tool,POM,DBH (mm),Height (meters),Type_Field,Note_Field,ID,Treatment
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,F10/G11,DF_4B_F10/G11_6848,6848,3.30,1.30,CP,0.30,12.40,1.60,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,F10/G11,DF_4B_F10/G11_6351,6351,3.00,0.80,CP,0.30,8.80,1.70,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,F10/G11,DF_4B_F10/G11_3122,3122,1.60,1.00,DBH,1.80,203.00,20.00,tree,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,F10/G11,DF_4B_F10/G11_3390,3390,0.80,0.20,CP,1.30,13.40,2.35,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_2641,2641,0.40,2.80,CP,1.30,39.60,26.00,Liana,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_6395,6395,0.30,2.80,CP,0.30,6.30,2.67,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_6697,6697,0.20,1.30,CP,0.30,4.70,2.67,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_9172,9172,0.10,3.20,CP,1.30,31.00,6.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_9129,9129,0.60,2.50,DBH,1.30,322.00,26.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_6704,6704,0.60,2.60,CP,1.30,21.40,26.00,Liana,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_7000,7000,0.50,3.50,CP,0.20,6.60,2.85,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_6245,6245,1.10,3.20,CP,0.30,7.90,4.00,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_9376,9376,1.30,4.20,CP,1.30,47.80,5.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_8304,8304,3.00,4.30,CP,1.30,23.70,3.50,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_1250,1250,3.50,3.80,CP,0.30,5.30,1.70,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_6055,6055,4.80,4.60,CP,1.30,11.80,2.10,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_9168,9168,5.00,4.20,CP,1.30,46.10,6.00,sapling,biggest trunk measured + height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_9623,9623,4.00,1.40,DBH,1.30,68.00,5.00,sapling,biggest trunk measured,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_6379,6379,2.70,2.00,DBH,1.30,65.00,4.50,sapling,biggest trunk measured,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2200,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_8475,8475,2.60,0.50,CP,0.30,7.90,2.26,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,G10/H11,DF_4B_G10/H11_8264,8264,1.00,1.70,CP,0.30,8.80,1.90,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_9186,9186,0.60,0.00,CP,0.30,23.50,1.63,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_6523,6523,0.40,0.20,CP,1.20,15.30,1.80,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_9498,9498,0.50,1.90,CP,1.30,21.20,2.83,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_9637,9637,0.40,3.10,CP,1.30,22.70,5.00,sapling,height estimated,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_9347,9347,1.10,3.10,CP,0.30,20.60,4.27,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_6276,6276,1.20,3.60,CP,1.30,18.60,2.30,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_8052,8052,1.80,3.80,CP,1.30,48.40,3.10,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_8426,8426,2.60,3.50,CP,0.40,14.50,3.16,Liana,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_9974,9974,2.40,3.70,CP,1.30,25.30,4.20,sapling,,#N/A,LMC
Summer_2021,Tyler,14/09/2021,IMG_2201,28/07/2021,Yannick,DF,4B,H10/I11,DF_4B_H10/I11_9855,9855,2.80,3.90,CP,0.30,15.90,1.90,sapling,,#N/A,LMC
