Species,
Scyphocephalium mannii,
Scorodophloeus zenkeri,
Coula edulis,
Hymenostegia pellegrinii,
Plagiostyles africana,
Santiria trimera,
Dacryodes buettneri,
Staudtia kamerunensis,
Uapaca sp.,
Diogoa zenkeri,
Gilletiodendron pierreanum,
Desbordesia glaucescens,
Petersianthus macrocarpus,
Coelocaryon preussii,
Pentaclethra eetveldeana,
Dialium angolense,
Pycnanthus angolensis,
Piptadeniastrum africanum,
Cylicodiscus gabunensis,
Julbernardia pellegriniana,
Oddoniodendron sp.,
Irvingia gabonensis,
Engomegoma gordonii,
Distemonanthus benthamianus,
Panda oleosa,
Cryptosepalum sp.,
Celtis tessmannii,
Strombosiopsis tetrandra,
Berlinia bracteosa,
Bikinia grisea,
Xylopia aethiopica,
Heisteria parvifolia,
Pentaclethra macrophylla,
Pancovia sp.,
Eurypetalum tessmannii,
Fillaeopsis discophora,
Hymenostegia sp.,
Corynanthe macroceras,
Diospyros sp.,
Tetraberlinia polyphylla,
Dichostemma glaucescens,
Gilbertiodendron ogoouense,
Bikinia sp.,
Nauclea diderrichii,
Klainedoxa gabonensis,
Greenwayodendron suaveolens,
Dialium sp.,
Dialium bipindense,
Musanga cecropioides,
Dacryodes igaganga,
Tessmannia africana,
Ongokea gore,
Mitragyna ledermannii,
Strephonema sp.,
Dialium pachyphyllum,
Guibourtia tessmannii,
Diospyros crassiflora,
Zanthoxylum gilletii,
Croton sp.,
Gilbertiodendron dewevrei,
Mitragyna stipulosa,
Carapa procera,
Gilbertiodendron sp.,
Klainedoxa sp.,
Dacryodes sp.,
Antrocaryon klaineanum,
Aucoumea klaineana,
Xylopia sp.,
Anthonotha sp.,
Afrostyrax lepidophyllus,
Drypetes sp.,
Anonidium mannii,
Anopyxis klaineana,
Sindoropsis letestui,
Zanthoxylum heitzii,
Corynanthe johimbe,
Pterocarpus soyauxii,
Anthonotha macrophylla,
Oddoniodendron micranthum,
Tetraberlinia bifoliolata,
Canarium schweinfurthii,
Lophira alata,
Cola sp.,
Croton mubango,
Scytopetalum klaineanum,
Erythrophleum ivorense,
Beilschmiedia sp.,
Strombosia sp.,
Xylopia hypolampra,
Tieghemella africana,
Bobgunnia fistuloides,
Calpocalyx dinklagei,
Balanites wilsoniana,
Trillesanthus excelsus,
Scottellia klaineana,
Hylodendron gabunense,
Chrysophyllum lacourtianum,
Strombosia pustulata,
Macaranga sp.,
Keayodendron sp.,
Dacryodes klaineana,
Klaineanthus gaboniae,
Neochevalierodendron stephanii,
Syzygium sp.,
Oubanguia africana,
Trichoscypha acuminata,
Myrianthus arboreus,
Tessmannia lescrauwaetii,
Crudia sp.,
Erismadelphus exsul,
Bikinia pellegrinii,
Albizia sp.,
Alstonia boonei,
Quassia gabonensis,
Angylocalyx sp.,
Dracaena sp.,
Centroplacus glaucinus,
Leplaea thompsonii,
Barteria fistulosa,
Cleistanthus sp.,
Berlinia sp.,
Homalium sp.,
Eriocoelum sp.,
Drypetes gossweileri,
Allanblackia sp.,
Amphimas ferrugineus,
Parinari excelsa,
Pseudospondias microcarpa,
Dacryodes edulis,
Macaranga monandra,
Maranthes gabunensis,
Stachyothyrsus staudtii,
Dacryodes macrophylla,
Parkia bicolor,
Chrysophyllum sp.,
Trichoscypha sp.,
Grewia coriacea,
